Error Code,Description,Explanation,Suggestion
C 283 A 47,Joint position limit exceeded,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 48,Tool position limit exceeded,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 49,Tool orientation limit exceeded,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 50,Elbow position limit exceeded,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 51,Tool moved with a speed which exceeds the speed limit,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 52,Elbow moved with a speed of which exceeds the speed limit,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 53,Maximum Tool Center Point Speed in Reduced Mode is invalid,,Ensure the Reduced Mode Limit is less than or equal to the Normal Mode limit.
C 283 A 54,Maximum Elbow Speed in Reduced Mode is invalid,,Ensure the Reduced Mode limit is less than or equal to the Normal Mode Limit.
C 283 A 55,Maximum Joint Speed of a specified joint in Reduced Mode is invalid,,Ensure the Reduced Mode Limit is less than or equal to the Normal Mode Limit.
C 283 A 56,Maximum Momentum in Reduced Mode is invalid,,Ensure the Reduced Mode Limit is less than or equal to the Normal Mode Limit.
C 283 A 57,Maximum stopping time in Reduced Mode is invalid,,Ensure the Reduced Mode Limit is less than or equal to the Normal Mode Limit.
C 283 A 58,Maximum stopping distance in Reduced Mode is invalid,,Ensure the Reduced Mode Limit is less than or equal to the Normal Mode Limit.
C 283 A 59,Reduced Mode Output is not active,Failed to activate the Reduced Mode Output. The output is active when voltage is low,Make sure output is not short circuited to a power supply
C 283 A 60,Reduced Mode Output is not inactive,Failed to deactivate the Reduced Mode Output. The output is inactive when voltage is high,Make sure output is not short circuited to ground
C 283 A 61,Not Reduced Mode Output is not active,Failed to activate the Not Reduced Mode Output. The output is active when voltage is low,Make sure output is not short circuited to a power supply
C 283 A 62,Not Reduced Mode Output is not inactive,Failed to deactivate the Not Reduced Mode Output. The output is inactive when voltage is high,Make sure output is not short circuited to ground
C 283 A 63,Robot is moving while Robot Moving Output is not active,Failed to activate the Robot Moving Output. The output is active when voltage is low,Make sure output is not short circuited to a power supply
C 283 A 64,Tool Direction Vector Length for Normal Mode is not 1.0,,Reconfigure Tool orientation
C 283 A 65,Tool Direction Vector Length for Reduced Mode is not 1.0,,Reconfigure Tool orientation
C 283 A 66,Robot Momentum exceeds the Momentum limit,,
C 283 A 67,Robot Power exceeds the Power limit,,
C 283 A 68,Error caused by a specified joint,A critical safety error,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 69,Safety system,Float value,
C 283 A 70,Safety system,Unsigned value,
C 283 A 71,Safety system,Safety is disabled but the app type is not MAIN-NS (No Safety),
C 283 A 73,Safe Home Position Output disagreement within the safety system,,Review your home position
C 283 A 74,The Safe Home Position Output is active while not allowed,The Safe Home Position Output is active while the robot is not in Safe Home Position,Make sure output is not short circuited to power supply or ground
C 283 A 75,Safety system,The user config versions received differ,
C 283 A 76,Safety system,Controller reported a fault,
C 283 A 77,Safety system,The user config versions is higher than supported,
C 283 A 78,Safety system,The user config versions is lower than supported,
C 283 A 79,Safety system,Safe home position out of range,
C 283 A 80,Safety system,Force limit calculation got an unsupported joint size,
C 283 A 81,The robot configuration specifies an unsupported joint size,The safety system is not certified to work with the specified joint size,Upgrade to a newer software version
C 283 A 82,The connected Teach Pendant type does not match the configuration,The connected Teach Pendant is not the same type as the one selected in the safety configuration,a) Check that the Teach Pendant is properly connected and matches the one in the safety configuration b) Conduct a complete re booting sequence c) Update software d) Contact your local Universal Robots technical support
C 283 A 83,The configured Teach Pendant has no Three-Positional Enabling Device,"The safety configuration enables the Teach Pendant’s Three-Positional Enabling Device, but the configured Teach Pendant does not have a Three- Positional Enabling Device",a) Check that the correct Teach Pendant is selected in the safety configuration b) Conduct a complete re booting sequence c) Update software d) Contact your local Universal Robots technical support
C 283 A 84,Safety system,Received an invalid Teach Pendant type in the user configuration,
C 283 A 85,Automatic Safeguard Stop Input disagreement within the safety system,"The input signals are not switching simultaneously, or are incorrectly connected",a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance
C 283 A 86,Automatic Safeguard Reset Input disagreement within the safety system,"The input signals are not switching simultaneously, or are incorrectly connected",a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance
C 283 A 87,Injection-Molding- Machine-Interface is connected while it is disabled in the robot configuration,"If the Injection-Molding- Machine-Interface is enabled, it must be connected. If it is disabled, it must be disconnected",Disconnect the Injection- Molding-Machine-Interface or enable it in the configuration
C 283 A 88,Lost more than allowed Injection- Molding-Machine- Interface safety packages in a row,,a) Check that the Injection- Molding-Machine-Interface is properly connected b) Conduct a complete re booting sequence c) Update software d) Contact your local Universal Robots service provider for assistance
C 283 A 89,The connected Injection-Molding- Machine-Interface type does not match the configuration,The connected Injection- Molding-Machine-Interface is not the same type as the one selected in the safety configuration,a) Check that the Injection- Molding-Machine-Interface is properly connected and matches the one in the safety configuration b) Conduct a complete re booting sequence c) Update software d) Contact your local Universal Robots service provider for assistance
C 283 A 90,Invalid Injection- Molding-Machine- Interface type in the user configuration,The configuration provided by the user safety configuration is invalid,a) Ensure the correct IM MI type is selected in the Safety Configuration b) Conduct a complete re booting sequence c) Update software d) Contact your local Universal Robots service provider for assistance
C 283 A 91,The Injection- Molding-Machine- Interface System Emergency Stop Output is not active,Failed to activate the System Emergency Stop Output on the Injection- Molding-Machine-Interface. The output is active when voltage is high,Make sure output is not short circuited to ground
C 283 A 92,Safety system,Target torque is outside the allowed range,
C 283 A 93,Safety system,Sanity check of target torque is outside the allowed range,
C 283 A 94,Automatic Safeguard Stop input is configured but no Three-Position Enabling device is configured,,a) Ensure that a Three- Positional Device is enabled in the Safety Configuration b) Conduct a complete re booting sequence c) Update software d) Contact your local Universal Robots service provider for assistance
C 283 A 95,IO Data has not been updated before latching it,,
C 283 A 96,Received an invalid IM MI type in the user configuration,,
C 283 A 97,Safety system,The payload inertia diagonal sent from the controller must be non-negative,
C 283 A 98,Safety system,The payload inertia sent from the controller must be with invalid range,
C 283 A 99,Safety system,Received an invalid value as part of the runtime safety configuration,
C 284 A,Brake Release,,
C 284 A 0 to C 284 A 20,Critical error,A critical error occurred during Brake Release,"a) Conduct a complete re booting sequence b) Ensure the mounted payload, TCP, and Co G matches your configuration c) Check if there is no interference with the joints d) Contact your local Universal Robots service provider for assistance"
C 285 A,Joint Keep-Alive System,,
C 285 A 0 to C 285 A 15,Critical error,A critical error occurred in the Joint Keep-Alive System,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 286 A,Motor Controller,,
C 286 A 1 to C 286 A 2,ME Index seen and PW M margin too small,,
C 287 A,Saved files in tool,,
C 287 A 0 to C 287 A 3,Critical error,A critical error occurred during file loading/saving,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 288 A,IO Control,,
C 288 A 1 to C 288 A 3,Wrong control mode,,Check for configuration under installation window
C 289 A,Tool Connector,,
C 289 A 1,Short circuit detected on Digital Output: high side,Tool Digital Output pin has been turned off due to either a short-circuit or an overload was detected.,Check connections to make sure Tool Digital Output currents are within specified limits.
C 289 A 2,Short circuit detected on Digital Output: low side,Tool Digital Output pin has been turned off due to either a short-circuit or an overload was detected.,Check connections to make sure Tool Digital Output currents are within specified limits.
C 289 A 4,10 second Average tool IO Current is outside of the allowed range.,The average current sum of the Tool Connector Power and Digital Output pins is outside of the allowed range.,Check connections to make sure tool Digital Output currents are within specified limits.
C 289 A 5,Unable to remove tool Digital Output fault.,"Unable to remove the overload on tool Digital Output, therefore the robot powered down.",Check connections to make sure the Tool Digital Output currents are within specified limits.
C 289 A 6,Current on the POWER pin is outside of the allowed range.,Too high current on tool connector power pin,Check connections to make sure the Tool Digital Output currents are within specified limits.
C 289 A 7,Current on the Digital Output pins is outside of the allowed range.,Too high current on tool connector Digital Output pins.,Check connections to make sure the Tool Digital Output currents are within specified limits.
C 289 A 8,Current on the ground pin is outside of the allowed range.,Too high current on tool ground pin,Check connections to make sure the Tool Digital Output currents are within specified limits.
C 289 A 9,Maximum current on the POWER pin is outside of the allowed range,Too high current on tool power pin,Check connections to make sure the Tool Digital Output currents are within specified limits.
C 290 A 1,I 2 C,The I 2 C bus was busy too long,
C 290 A 2,I 2 C,Function called too early after last call or the slave chip did not answer,
C 290 A 3,I 2 C,A peripheral unit has set the alert pin,
C 290 A 4,I 2 C,Communication time out detected,
C 290 A 6,I 2 C,An error was detected in the i 2 c acknowledge handshake,
C 290 A 7,I 2 C,I 2 C detected arbitration loss,
C 290 A 8,I 2 C,I 2 C detected error on the I 2 C-bus,
C 290 A 9,I 2 C,I 2 C error interrupt called with un handled error-flag,
C 290 A 10,I 2 C,"I 2 C peripheral issue, several un handled events",
C 291 A 1,EEPROM,Addressed data is out of memory bounds,
C 291 A 2,EEPROM,I 2 C communication error,
C 291 A 3,EEPROM,Write to EEPROM failed,
C 291 A 4,EEPROM,Read from EEPROM failed,
C 291 A 5,EEPROM,Verification of written data failed,
C 291 A 6,EEPROM,Difference in data when comparing the source and the data written,
C 291 A 7,EEPROM,Writing of a page in EEPROM failed,
C 292 A,Online RAM test,,
C 292 A 0 to C 292 A 15,Critical error,A critical error occurred during RAM test,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 293 A,Exception caught,,
C 293 A 1 to C 293 A 30,Unexpected exception/interrupt,,a) Do a Complete rebooting sequence b) Update software
C 294 A,ADC,Analog to Digital converter,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 294 A 0 to C 294 A 9,Critical error,A critical error occurred in the ADC driver,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 295 A,PCB,Wrong PCB type. Likely a hardware error.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 295 A 0,Wrong PCB type,The printed circuit board is wrong,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 297 A 1,Joint validation,Received Node ID from an unexpected device,
C 297 A 2,Joint validation,Received Node ID an unexpected node,
C 297 A 3,Joint validation,Joint processors disagree on Joint Size,
C 297 A 4,Joint validation,Joints disagree with configuration on Joint Size,
C 297 A 5,Joint validation,Found Joint disabled in configuration,
C 297 A 7,Joint validation,Node ID differs from the stored ID.,
C 297 A 8,Joint validation,Invalid robot configuration,
C 297 A 10,Joint validation,Timeout while waiting for Node IDs,
C 298 A,Hand protection,,
C 298 A 0,Tool is too close to the lower arm,The tool is too close to the lower Robot arm,a) Check wrist position. b) Verify mounting c) Do a Complete rebooting sequence d) Update software e) Contact your local Universal Robots service provider for assistance
C 299 A,Tool communication,,
C 299 A 0,Communication error detected,A problem with the Tool communication was detected.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 299 A 1,Tool communication,TX buffer overflow,
C 299 A 2,Tool communication,New message started unexpectedly,
C 299 A 3,R X framing error,Framing error detected on received data,a) Check external equipment connection b) Verify the communication configuration matches the hardware. c) Do a Complete rebooting sequence d) Update software e) Contact your local Universal Robots service provider for assistance
C 299 A 4,R X Parity error,Parity error detected on received data,a) Check external equipment connection b) Verify the communication configuration matches the hardware. c) Do a Complete rebooting sequence d) Update software e) Contact your local Universal Robots service provider for assistance
C 299 A 5,Tool communication,R X buffer overflow.,
C 300 A 1,Safety message,Safety message received from an unexpected node.,
C 300 A 2,Safety message,Safety message response received with an unexpected sequence number.,
C 300 A 3,Safety message,Duplicate safety message response received with sequence number.,
C 301 A,Safety message monitor,Safety processors does not agree.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 301 A 0,Critical error,A critical error occurred in safety message monitoring,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 2,Safety message monitor,Mode data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 3,Safety message monitor,Position data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 4,Safety message monitor,Revolution data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 5,Safety message monitor,Temperature data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 6,Safety message monitor,Torque data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 7,Safety message monitor,Velocity data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 8,Safety message monitor,Input state data disagreement,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 10,Safety message monitor,Safety monitor: Don't have the correspondingx-mon data,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 12,Safety message monitor,Target current data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 14,Safety message monitor,Target Velocity data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 15,Safety message monitor,Target Acceleration data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 16,Safety message monitor,Issue with setting up the UART mon R X address in TP,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 17,Safety message monitor,Issue with setting up the UART mon R XC IT ER register in TP,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 18,Safety message monitor,Issue with setting up the UART mon RXB IT ER register in TP,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 19,Safety message monitor,"Issue with setting up the MK 02 UART TX, address is incorrect",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 20,Safety message monitor,"Issue with setting up the MK 02 UART TX, CITE R REG is incorrect",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 21,Safety message monitor,"Issue with setting up the MK 02 UART TX, BITER REG is incorrect",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 25,Safety message monitor,Node u A's communication to S CB disabled,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 26,Safety message monitor,Motor parameter (R_pp) data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 27,Safety message monitor,Motor parameter (L_pp) data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 28,Safety message monitor,Motor parameter (Kb) data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 29,Safety message monitor,Motor parameter (Kt) data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 30,Safety message monitor,Motor parameter (T) data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 31,Safety message monitor,Safety Message was not received,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 32,Safety message monitor,Function indicating if we should monitor data is not configured,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 33,Safety message monitor,Function to parse messages is not configured,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 34,Safety message monitor,Function to handle messages is not configured,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 35,Safety message monitor,Function to handle disable communication requests is not configured,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 36,Safety message monitor,IM MI Safety IOe stop input mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 37,Safety message monitor,IM MI Safety IOe stop output mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 38,Safety message monitor,IM MI Safety IO safeguard input mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 39,Safety message monitor,Target torque data mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 301 A 40,Safety message monitor,compensation current mismatch,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 302 A,Tool configuration,,Please check your configuration on the installation tab
C 302 A 1,Invalid Robot Type,The tool received an invalid robot type,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A,System status,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 0,Critical error,A critical system error occurred,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 1,System status,Starting up,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 2,System status,Shutting down,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 3,System status,Reset caused by unknown reasons,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 4,System status,Reset caused by power loss,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 5,System status,Reset caused by window watchdog,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 6,System status,Reset caused by independent watchdog,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 7,System status,Reset caused by software,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 8,System status,Reset caused by power on,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 9,System status,Reset caused by reset pin,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 10,System status,Reset caused by brownout,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 11,System status,Reset caused by a loss of lock in the P LL,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 12,System status,Reset caused by a loss of external clock.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 13,System status,Reset caused by LL WU module wake up source,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 14,System status,Reset caused by peripheral failure to acknowledge attempt to enter Stop Mode,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 15,System status,Reset caused by Ez Port receiving the RESET command while the device is in Ez Port mode,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 16,System status,Reset caused by host debugger system setting of the System Reset Request bit,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 17,System status,Reset caused by core LOCKUP event,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 18,System status,Reset caused by J TAG,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 303 A 19,System status,Unexpected core frequency configured,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 304 A,Self monitoring,,
C 304 A 0,Critical error,"A critical error occurred in physical, logical, and temporal monitoring (PLAT M)",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 304 A 3,Close to the gearbox shear limit. Encoders disagree on the Joint position,"The Joint acceleration or deceleration is too high, or there is a mechanical problem in the gear related to encoder mounting.",a) Reduce acceleration in the user program. b) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance or Replace Joint if necessary.
C 304 A 4,"Either the encoder was inappropriately mounted, or the gearbox is loose or broken. Difference between the encoders is present",Mechanical problem in gear related to encoder mounting.,a) Reduce acceleration in the user program. b) Check TCP/Payload and Cog c) Do a Complete rebooting sequence d) Update software e) Contact your local Universal Robots service provider for assistance or Replace Joint if necessary.
C 304 A 6,Motor phase resistance is too high.,"The lead/connector is broken, or the Motor phase lead has become disconnected or loose.",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 305 A,Robot Power Control,,
C 305 A 0,Critical error,A critical error in power control module,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 305 A 1,Power supply voltage too low,Robot voltage is lower than 40 V.,a) Check for loose connections b) Do a Complete rebooting sequence c) Update software d) Contact your local Universal Robots service provider for assistance.
C 305 A 2,Robot cable not connected,,a) Make sure the cable between Control Box and Robot Arm is correctly connected and it has no damage. b) Check for loose connections c) Do a Complete rebooting sequence d) Update software e) Contact your local Universal Robots service provider for assistance Contact your local Universal Robots service provider for assistance.
C 305 A 3,Short circuit in Robot detected or the wrong Robot is connected to the Control Box.,,a) Check for loose connections b) Make sure the cable between Control Box and Robot Arm is correctly connected and it has no damage. c) Check for loose connections d) Do a Complete rebooting sequence e) Update software f) Contact your local Universal Robots service provider for assistance.
C 305 A 4,Robot voltage rising slower than expected,,a) Verify the power supply voltage b) Verify Control Box and Robot Arm are correctly paired c) Check for loose connections d) Do a complete rebooting sequence e) Contact your local Universal Robots service provider for assistance
C 305 A 5,Robot Power Control,Attempted to start Energy Eater with powered robot,
C 305 A 6,Power supply voltage too high,Power supply is higher than 56 V,a) Make sure the cable between Control Box and Robot Arm is correctly connected and it has no damage. b) Check for loose connections c) Do a Complete rebooting sequence d) Update software e) Contact your local Universal Robots service provider for assistance.
C 305 A 7,Robot Power Control,Energy Eater was active when trying to turn on the Robot arm,
C 305 A 8,The Robot Voltage is too high when powering on the Robot,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 305 A 9,The Power State was not OFF when trying to power on the Robot,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 305 A 10,Robot Power Control,The Delay Callback setup failed,
C 305 A 11,The power to the robot arm was not removed fast enough after violation,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 306 A,Joint,Joint error,
C 306 A 0,Critical error,A critical error occurred in a Joint,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 306 A 1,Not stopping fast enough,Joint was unable to come to a full stop fast enough.,"a) Either an incorrect payload is mounted, or an external force is pushing the robot b) Do a Complete rebooting sequence c) Update software d) Contact your local Universal Robots service provider for assistance."
C 306 A 2,Joint,Velocity failed to pass sanity check,
C 306 A 3,Joint,Acceleration failed to pass sanity check,
C 306 A 4,Joint,Joint does not have a stored id,
C 306 A 6,Joint,control-package sequence number mismatched with expected sequence number,
C 306 A 7,Joint,Several instances of mismatched control-package sequence numbers within last second,
C 306 A 8,Joint,Sanity check of control-package sequence numbers recovered after detecting bad sequence numbers,
C 306 A 9,Joint moved more than allowable limit,Potential mechanical failure of the joints brakes,b) Do a Complete rebooting sequence c) Update software d) Contact your local Universal Robots service provider for assistance.
C 306 A 10,Joint,"Current detected in motor exceeded limits, check current",
C 306 A 11,Joint,Check PW M duty cycle for motor phase A,
C 306 A 12,Joint,Check PW M duty cycle for motor phase B,
C 306 A 13,Joint,Check PW M duty cycle for motor phase C,
C 307 A,Data B,,
C 308 A,Data A,,
C 309,Keep-Alive System,,
C 309 A,Critical error,A critical error occurred in the Keep-Alive System,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 0,Keep-Alive System,Critical error,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 1,Keep-Alive System,Keep-Alive System message with wrong sequence received from S CB-u PA.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 2,Keep-Alive System,Timeout reached while waiting for a Keep-Alive System message from S CB- u PA.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 3,Keep-Alive System,Go-to-Fault command received a Keep-Alive System message from S CB- u PA.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 4,Keep-Alive System,A Keep-Alive System message with wrong sequence received from S CB-u PB.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 5,Keep-Alive System,Timeout reached while waiting for Keep-Alive System message from S CB- u PB.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 6,Keep-Alive System,Go-to-Fault command received in Keep-Alive System message from S CB- u PB.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 7,Keep-Alive System,Keep-Alive System message received from an unauthorized source,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 8,Keep-Alive System,u PA handler received an invalid value,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 9,Keep-Alive System,u PB handler received an invalid value,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 10,Lost more than allowed Keep-Alive System messages in a row from Safety Control Board-u PA,An invalid amount of Keep- Alive System messages have been lost from the Safety Control Board Processor A,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 11,Lost more than allowed Keep-Alive System messages in a row from Safety Control Board-u PB,An invalid amount of Keep- Alive messages have been lost from the Safety Control Board Processor B,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 12,Keep-Alive System,Go-to-Violation command received in Keep-Alive System message from S CB- u PA.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 13,Keep-Alive System,Go-to-Violation command received in Keep-Alive System message from S CB- u PB.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 14,Keep-Alive System,Invalid command received in Keep-Alive System message from S CB-u PA.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 309 A 15,Keep-Alive System,Invalid command received in Keep-Alive System message from S CB-u PB.,a) Conduct a complete re booting sequence b) Update software c) Contact your local Universal Robots service provider for assistance
C 311 A 0,Delay Callback,The timer is not available,
C 312 A,Data validation,,
C 312 A 1,Data validation,Missed several packages,
C 312 A 2,Data validation,Unexpected sequence,
C 312 A 3,Data validation,Several failures in a row,
C 312 A 4,Data validation,Received a package at an unexpected time,
C 312 A 5,Data validation,Package had unexpected type,
C 314 A,SPI IO,IO sanity check error.,
C 314 A 0,Critical error,A critical error occurred related to IO,a) Do a Complete rebooting sequence b) Check IO connections c) Update software d) Contact your local Universal Robots service provider for assistance.
C 314 A 1,SPI IO,Control bits read wrongly,
C 314 A 2,SPI IO,Output read back does not match the produced value,
C 314 A 3,SPI IO,Safeguard bit transition to low,
